DATE,PM_10,PM_2_5,TEMP,PRESS,HUMID
20231129-194442,5.40,1.48,21.06,99345.06,37.93
20231129-194709,4.03,1.10,20.98,99342.88,37.82
20231129-194935,3.42,1.40,20.93,99340.22,38.03
20231129-195201,7.30,1.70,20.89,99336.53,37.82
20231129-195427,4.57,1.40,20.87,99330.72,38.17
20231129-195654,3.90,1.30,20.81,99335.16,38.26
20231129-195920,5.22,1.50,20.78,99332.22,37.95
20231129-200147,7.00,1.65,20.74,99323.28,37.86
20231129-200414,3.70,1.40,20.70,99328.22,37.75
20231129-200640,4.70,1.50,20.70,99330.84,37.92
20231129-200910,2.67,1.52,20.68,99334.75,37.89
20231129-201136,3.83,1.20,20.60,99322.91,37.88
20231129-201403,3.17,1.42,20.59,99333.63,37.70
20231129-201629,3.53,1.33,20.56,99328.88,38.09
20231129-201855,5.00,1.70,20.55,99327.28,38.20
20231129-202121,2.80,1.70,20.54,99330.94,37.99
20231129-202351,1.95,1.50,20.49,99329.06,38.25
20231129-202617,4.40,1.45,20.50,99327.25,37.95
20231129-202843,3.88,1.35,20.48,99327.50,37.73
20231129-203111,4.40,1.40,20.48,99324.06,37.70
20231129-203337,3.47,1.50,20.47,99312.81,38.30
20231129-203608,3.58,1.40,20.40,99308.81,38.07
20231129-203835,4.72,1.60,20.42,99309.34,38.15
20231129-204102,3.53,1.65,20.42,99312.75,38.05
20231129-204329,4.30,1.85,20.43,99313.56,37.80
20231129-204557,2.72,1.58,20.25,99298.19,37.71
20231129-204824,2.55,1.40,20.35,99320.03,38.16
20231129-205051,2.83,1.52,20.35,99316.63,38.00
20231129-205319,3.30,1.60,20.35,99314.00,38.18
20231129-205545,4.25,1.75,20.32,99314.50,37.87
20231129-205813,5.18,1.80,20.29,99309.75,38.04
20231129-210041,4.53,1.73,20.33,99310.81,38.05
20231129-210307,3.67,1.90,20.27,99314.44,38.23
20231129-210533,3.50,1.70,20.27,99317.84,37.97
20231129-210803,4.25,1.60,20.22,99320.41,38.04
20231129-211032,3.78,1.85,20.14,99328.69,37.85
20231129-211259,3.50,1.70,20.04,99319.91,38.15
20231129-211525,4.10,1.60,20.04,99323.31,38.44
20231129-211753,3.47,1.70,20.01,99320.41,37.98
20231129-212019,4.45,1.60,19.99,99320.63,38.47
20231129-212247,3.67,1.80,19.91,99301.97,38.03
20231129-212514,2.95,1.75,19.90,99311.63,38.08
20231129-212745,3.67,2.10,19.87,99304.28,38.53
20231129-213012,4.50,1.77,19.83,99309.19,38.29
20231129-213239,4.25,1.80,19.81,99310.47,38.10
20231129-213506,5.57,1.90,19.75,99307.00,38.33
20231129-213734,4.95,1.92,19.73,99306.44,38.67
20231129-214000,3.25,1.63,19.65,99298.25,38.71
20231129-214226,4.65,1.80,19.66,99305.84,38.33
20231129-214452,6.57,1.88,19.61,99302.38,38.68
20231129-214721,3.92,1.95,19.58,99308.88,38.66
20231129-214948,3.67,1.73,19.54,99306.97,38.68
20231129-215215,3.53,1.95,19.49,99304.31,38.64
20231129-215441,3.53,1.83,19.47,99309.78,38.46
20231129-215708,3.60,1.85,19.46,99315.25,38.40
20231129-215936,3.28,1.65,19.40,99311.78,39.02
20231129-220202,2.50,1.60,19.38,99303.38,39.01
20231129-220430,4.30,1.70,19.32,99295.69,38.79
20231129-220656,3.00,1.65,19.33,99307.75,38.87
20231129-220922,2.80,1.80,19.32,99301.72,38.87
20231129-221150,3.75,1.98,19.29,99306.63,38.69
20231129-221417,3.67,2.10,19.26,99304.47,38.96
20231129-221643,3.28,1.90,19.20,99301.00,39.00
20231129-221909,3.45,1.83,19.22,99306.78,38.64
20231129-222137,3.55,1.80,19.19,99303.84,38.94
20231129-222405,3.92,1.80,19.15,99310.59,38.75
20231129-222631,1.77,1.50,19.10,99300.03,38.91
20231129-222857,3.45,1.90,19.09,99291.41,38.66
20231129-223124,2.67,1.80,19.05,99289.53,38.68
20231129-223351,3.60,1.80,19.05,99289.53,38.86
20231129-223617,2.35,1.80,19.02,99290.78,39.25
20231129-223843,3.60,2.05,19.00,99285.03,38.62
20231129-224110,4.80,2.08,18.96,99275.28,39.22
20231129-224337,3.42,1.80,18.92,99272.34,38.91
20231129-224604,4.28,1.90,18.86,99267.28,39.09
20231129-224830,3.83,1.90,18.89,99272.03,39.23
20231129-225056,3.67,1.98,18.88,99270.44,38.94
20231129-225322,3.80,2.10,18.84,99259.66,39.09
20231129-225548,3.10,1.80,18.84,99269.34,39.13
20231129-225815,3.33,2.03,18.79,99259.63,39.45
20231129-230043,3.50,1.80,18.80,99263.00,38.95
20231129-230309,3.97,2.00,18.74,99251.69,39.31
20231129-230536,4.78,2.13,18.72,99245.13,39.00
20231129-230803,3.58,2.00,18.68,99239.56,38.90
20231129-231033,2.58,1.67,18.67,99243.22,39.38
20231129-231259,2.90,1.90,18.64,99235.06,39.46
20231129-231525,3.72,2.40,18.63,99236.91,39.18
20231129-231752,3.42,2.03,18.61,99227.69,39.39
20231129-232020,5.47,2.25,18.60,99233.97,39.61
20231129-232246,3.60,2.13,18.55,99229.44,39.50
20231129-232513,2.40,1.63,18.51,99230.97,39.36
20231129-232740,3.15,2.20,18.52,99222.09,39.12
20231129-233006,4.20,2.15,18.51,99230.16,39.08
20231129-233233,4.25,2.30,18.49,99238.22,39.40
20231129-233500,3.40,2.10,18.47,99236.88,39.09
20231129-233728,4.88,2.10,18.45,99226.69,39.29
20231129-233955,2.55,1.95,18.42,99237.59,39.38
20231129-234223,3.92,2.15,18.37,99223.66,39.40
20231129-234452,2.72,1.85,18.39,99227.63,39.15
20231129-234720,4.32,2.30,18.36,99230.69,39.44
20231129-234946,4.65,2.50,18.26,99224.50,39.66
20231129-235216,3.17,2.25,18.34,99237.13,39.33
20231129-235443,5.72,2.20,18.31,99238.41,39.42
